species,order,body_mass_kg,adult_life_expectancy_years,exposure_proxy,cmr,icm,naive_risk,suppression_index,n_postmortem,n_neoplasia
Rusa alfredi,Artiodactyla,40.39,6.696947296372348,270.4897013004791,0.0286,0.0157,0.10008508007482464,0.7248406017953578,35,1
Saguinus bicolor,Primates,0.52,9.710499657768652,5.049459822039699,0.0,0.0,0.0019666821369273,1.0,41,0
Saguinus imperator,Primates,0.58,7.551047227926078,4.379607392197125,0.0103,0.0032,0.0017060082372085672,-5.063615542692499,97,1
Saguinus labiatus,Primates,0.59,6.985708418891171,4.121567967145791,0.0,0.0,0.0016055737120724833,1.0,32,0
Saguinus midas,Primates,0.53,8.611225188227241,4.5639493497604375,0.0,0.0,0.001777751926963167,1.0,25,0
Saguinus oedipus,Primates,0.57,9.687118412046543,5.5216574948665285,0.0921,0.1746,0.00215039753977464,-43.88338213017278,152,14
Saimiri boliviensis,Primates,0.94,11.744175222450378,11.039524709103356,0.0071,0.0037,0.004294699511389388,-0.6555322167450133,140,1
Sciurus vulgaris,Rodentia,0.36,3.7983846680355917,1.367418480492813,0.0357,0.0509,0.0005329694903402071,-67.18990915849831,28,1
Speothos venaticus,Carnivora,7.59,6.970622861054072,52.90702751540041,0.0313,0.017,0.020415437420773896,-0.5417052952968933,32,1
Suricata suricatta,Carnivora,1.04,7.805639972621493,8.117865571526353,0.0775,0.1282,0.0031598862696469165,-24.488380994459558,413,32
Syncerus caffer,Artiodactyla,441.58,13.762600958247775,6077.289331143053,0.0,0.0,0.9064571420995011,1.0,22,0
Tapirus indicus,Perissodactyla,328.41,15.666091718001368,5144.901181108829,0.2,0.0897,0.8654511633214996,0.8887524025043165,20,4
Tapirus terrestris,Perissodactyla,207.31,16.318494182067077,3382.987028884326,0.0238,0.008,0.7325748510672352,0.981736666017508,42,1
Theropithecus gelada,Primates,18.02,15.292429842573581,275.5695857631759,0.0,0.0,0.10186558001868673,1.0,22,0
Tragelaphus angasii,Artiodactyla,79.02,6.604216290212183,521.8651712525667,0.0196,0.0102,0.18409560662251812,0.9027090701679084,102,2
Tragelaphus eurycerus,Artiodactyla,250.01,7.93782340862423,1984.5352303901439,0.0423,0.0294,0.5386992801974158,0.9441380173296894,71,3
