Species,Order,Female body mass (kg),Male body mass (kg),Species body mass (kg),Female sexual maturity (days),Male sexual maturity (days),Species sexual maturity (days),Source of sexual maturity,CMR,ICM,Adult life expectancy,Diet (Animal),Diet (Invertebrate),Diet (Vertebrate),Diet (Fish),Diet (Reptile),Diet (Bird),Diet (Mammals),No.individuals,No.dead individuals,No. neoplasia cases,No. individuals with available postmortem pathological records
Dama_mesopotamica,Artiodactyla,59.59,87.76,73.68,487,507,,https://genomics.senescence.info/species/entry.php?species=Dama_dama,0.1000,0.1516,3096.06,0,0,0,0,0,0,0,316,129,3,30
Damaliscus_pygargus,Artiodactyla,70.59,71.92,71.26,724,,,ZIMS,0.0000,0.0000,2480.66,0,0,0,0,0,0,0,407,225,0,68
Dasyprocta_azarae,Rodentia,3.10,3.20,3.15,340,,,"Closest species : 
- no pacifici, no lovegrove, no harvey, no millar 
- wootton : D. leporina : 295 days
AnAge&Ernest : D. leporina : 193 (f) / D. punctata : 487 (f) ",0.0000,0.0000,2752.38,0,0,0,0,0,0,0,380,136,0,24
Dasyprocta_leporina,Rodentia,3.48,3.21,3.34,198,,,ZIMS,0.0294,0.0601,2236.38,0,0,0,0,0,0,0,320,203,1,34
Dasyuroides_byrnei,Dasyuromorphia,0.12,0.14,0.13,256,221,374,ZIMS,0.5714,0.5210,1030.42,1,1,1,0,1,1,1,139,93,16,28
Desmodus_rotundus,Chiroptera,0.03,0.03,0.03,292,292,,ZIMS,0.0769,0.1548,3650.27,1,0,0,0,0,0,0,324,127,3,39
Dolichotis_patagonum,Rodentia,7.58,7.68,7.63,160,187,249,ZIMS,0.0000,0.0000,1834.76,0,0,0,0,0,0,0,1730,978,0,213
Echinops_telfairi,Afrosoricida,0.16,0.14,0.15,336,374,,ZIMS,0.0571,0.0247,2720.27,1,1,1,0,0,0,1,539,245,2,35
Eidolon_helvum,Chiroptera,0.29,0.31,0.30,,,374,ZIMS,0.1429,,5507.59,0,0,0,0,0,0,0,569,158,5,35
Elaphurus_davidianus,Artiodactyla,175.44,209.38,192.41,841,1214,,ZIMS,0.0164,0.0132,3076.13,0,0,0,0,0,0,0,528,288,1,61
Equus_grevyi,Perissodactyla,392.05,386.91,389.48,1371,1496,,ZIMS,0.0385,0.0272,4916.47,0,0,0,0,0,0,0,496,199,2,52
Equus_hemionus,Perissodactyla,218.20,227.21,222.71,1078,1215,374,ZIMS,0.0303,0.0153,4329.82,0,0,0,0,0,0,0,309,130,1,33
Equus_quagga,Perissodactyla,293.10,295.36,294.23,896,739,374,ZIMS,0.0097,0.0049,5446.34,0,0,0,0,0,0,0,1343,436,1,103
Equus_zebra,Perissodactyla,335.30,312.66,323.98,1108,1310,,ZIMS,0.0000,0.0000,4320.68,0,0,0,0,0,0,0,212,80,0,24
Erythrocebus_patas,Primates,8.06,12.91,10.49,994,1433,,ZIMS,0.0588,0.0226,4237.94,0,0,0,0,0,0,0,241,101,2,34
Eudorcas_thomsonii,Artiodactyla,18.63,22.32,20.47,368,184,748,ZIMS,0.0390,0.0992,2162.64,0,0,0,0,0,0,0,447,259,3,77
Eulemur_macaco,Primates,2.51,2.42,2.47,624,561,,ZIMS,0.1200,0.1503,5478.84,0,0,0,0,0,0,0,232,82,3,25
Felis_margarita,Carnivora,2.41,3.18,2.79,281,,,ZIMS,0.1212,0.1769,3559.46,1,0,1,0,1,1,1,211,100,4,33
Felis_silvestris,Carnivora,3.29,3.99,3.64,313,311,,ZIMS,0.0250,0.0453,3555.10,1,1,1,0,1,1,1,346,158,1,40
Galago_senegalensis,Primates,0.19,0.23,0.21,273,307,,ZIMS,0.0000,0.0000,2600.14,1,1,0,0,0,0,0,356,122,0,25
Gazella_cuvieri,Artiodactyla,23.85,24.65,24.25,357,184,748,ZIMS,0.0000,0.0000,2317.93,0,0,0,0,0,0,0,89,48,0,20
Gazella_dorcas,Artiodactyla,12.15,13.91,13.03,586,636,,ZIMS,0.0769,0.1117,2083.34,0,0,0,0,0,0,0,266,147,3,39
Gazella_leptoceros,Artiodactyla,13.50,16.33,14.92,161,,,ZIMS,0.0000,0.0000,1835.87,0,0,0,0,0,0,0,141,89,0,26
Gazella_marica,Artiodactyla,14.91,17.56,16.23,384,463,,"Data on closest relatives from AnAge: 
- subgutturosa : 646 (f) / 746 (m)
- leptoceros : 157 (f) 
- cuvieri : 349 (f) / 180 (m) ",0.0000,,2476.22,,,,,,,,405,146,0,33
Gazella_subgutturosa,Artiodactyla,17.62,21.11,19.37,640,764,,ZIMS,0.0000,0.0000,1942.64,0,0,0,0,0,0,0,348,175,0,49
Giraffa_camelopardalis,Artiodactyla,758.19,1065.01,911.60,1361,1683,,ZIMS,0.0123,0.0102,4568.44,0,0,0,0,0,0,0,1836,648,2,163
Gorilla_gorilla,Primates,92.87,181.06,136.96,2868,4111,374,ZIMS,0.0455,,10705.03,0,0,0,0,0,0,0,679,95,1,22
Helogale_parvula,Carnivora,0.45,0.41,0.43,451,,,ZIMS,0.0000,0.0000,3156.57,1,1,0,0,0,0,0,476,184,0,35
Heterocephalus_glaber,Rodentia,0.05,0.05,0.05,234,,,ZIMS,0.0233,,4726.02,0,0,0,0,0,0,0,632,217,1,43
Hippopotamus_amphibius,Artiodactyla,1413.51,1585.40,1499.45,1421,1310,,ZIMS,0.0000,0.0000,11384.95,0,0,0,0,0,0,0,391,64,0,22
Hippotragus_equinus,Artiodactyla,218.26,268.88,243.57,744,833,,ZIMS,0.0000,0.0000,3082.81,0,0,0,0,0,0,0,303,136,0,35
Hippotragus_niger,Artiodactyla,187.54,213.56,200.55,781,1212,,ZIMS,0.0141,0.0088,2838.43,0,0,0,0,0,0,0,477,237,1,71
Hydrochoerus_hydrochaeris,Rodentia,50.07,48.88,49.47,1035,1098,,ZIMS,0.0878,0.0820,1913.90,0,0,0,0,0,0,0,1027,560,13,148
Hylobates_lar,Primates,7.43,7.57,7.50,2767,1869,,ZIMS,0.1250,,8411.62,0,0,0,0,0,0,0,383,87,3,24
Hystrix_africaeaustralis,Rodentia,16.56,15.14,15.85,414,399,,ZIMS,0.0250,,4472.39,0,0,0,0,0,0,0,329,112,1,40
Hystrix_indica,Rodentia,17.79,17.43,17.61,375,390,,Closest species with data: https://genomics.senescence.info/species/entry.php?species=Hystrix_africaeaustralis,0.0976,0.0674,4995.71,0,0,0,0,0,0,0,446,141,4,41
Jaculus_jaculus,Rodentia,0.06,0.06,0.06,335,140,,ZIMS,0.0690,0.0609,900.42,0,0,0,0,0,0,0,129,116,2,29
Kobus_ellipsiprymnus,Artiodactyla,151.28,174.51,162.90,706,374,374,ZIMS,0.0143,0.0070,3330.55,0,0,0,0,0,0,0,736,354,1,70
Kobus_leche,Artiodactyla,71.40,95.23,83.32,871,1075,,ZIMS,0.0081,0.0137,3275.13,0,0,0,0,0,0,0,959,429,1,124
